Unnamed: 0	GSM4273334	GSM4273341	GSM4273348	GSM4273355	GSM4273362	GSM4273369	GSM4273376	GSM4273383
ENSG00000037637	728	670	721	804	718	772	655	815
ENSG00000037749	837	782	758	810	787	787	782	852
ENSG00000037757	332	228	339	255	285	245	285	165
ENSG00000037897	1302	1322	1145	1397	1159	1113	1434	1577
ENSG00000038002	627	480	666	498	624	747	528	652
ENSG00000038210	556	442	659	524	494	710	496	564
ENSG00000038219	1837	1825	1542	2221	1787	1775	1611	1966
ENSG00000038274	2541	2238	2118	2107	2333	2793	2232	2894
ENSG00000038358	1531	1686	1476	1806	1243	1424	1443	1769
ENSG00000038382	4643	4196	3966	3807	4074	3956	3601	4099
ENSG00000038427	118	164	367	266	19	6	10	19
ENSG00000038532	1273	1233	1135	1404	1351	1228	1403	1323
ENSG00000038945	15687	8294	14334	10422	8551	14352	5467	10179
ENSG00000105325	11	10	7	11	33	50	29	39
ENSG00000039123	1670	1618	1502	1609	1493	1612	1727	1819
ENSG00000039319	10743	11023	9044	11306	10673	9706	12701	11764
ENSG00000039523	3053	2457	2803	3154	3221	2740	3165	2966
ENSG00000039560	1700	1076	1724	1585	1384	976	1072	817
ENSG00000039650	936	673	817	600	516	717	450	610
ENSG00000040199	753	777	675	765	804	724	691	814
ENSG00000040275	228	145	249	215	195	178	147	176
ENSG00000040341	777	437	742	639	842	628	570	490
ENSG00000040487	2497	2061	2173	1990	2586	2495	2859	2638
ENSG00000040531	5156	5420	3850	5018	5011	4392	7115	6584
ENSG00000040608	1101	419	1258	533	1237	1067	1166	520
