,pert_iname,clinical_phase,moa,target,disease_area,indication
3639,mebendazole,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,pinworm|whipworm|hookworm|ascariasis
3640,mebeverine,Launched,acetylcholine receptor antagonist,CHRM1,gastroenterology,irritable bowel syndrome
3641,mebhydrolin,Launched,antihistamine,,allergy,allergic rhinitis|urticaria
3642,mebicar,Launched,anxiolytic,,neurology/psychiatry,anxiety
3643,mebrofenin,Launched,,,radiology,diagnostic agent
3644,mecamylamine,Launched,acetylcholine receptor antagonist,CHRNA1|CHRNA2|CHRNA3|CHRNA4|CHRNA6|CHRNA7|CHRNB4,cardiology,hypertension
3647,meclizine,Launched,constitutive androstane receptor (CAR) agonist,NR1I3,gastroenterology|neurology/psychiatry,nausea|vomiting|motion sickness
3648,meclocycline-sulfosalicylate,Launched,bacterial 50S ribosomal subunit inhibitor,,dermatology|infectious disease,acne vulgaris (AV)|skin infections
3649,meclofenamic-acid,Launched,cyclooxygenase inhibitor|prostanoid receptor antagonist,ALOX5|CNR1|KCNQ2|KCNQ3|PTGS1|PTGS2,rheumatology|neurology/psychiatry|endocrinology,joint pain|muscle pain|rheumatoid arthritis|primary dysmenorrhea (PD)
3650,meclofenoxate,Launched,nootropic agent,,neurology/psychiatry,senile dementia|Alzheimer's disease
3651,mecysteine,Launched,analgesic agent,,pulmonary,chest congestion
3652,medetomidine,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,neurology/psychiatry,sedative
3655,medronic-acid,Launched,bone resorption inhibitor,,radiology,skeletal imaging agent
3656,medroxyprogesterone,Launched,progesterone receptor agonist,PGR,endocrinology,contraceptive
3657,medroxyprogesterone-acetate,Launched,progesterone receptor agonist,ESR1|PGR,endocrinology,contraceptive
3658,medrysone,Launched,glucocorticoid receptor agonist,NR3C1,ophthalmology,conjunctivitis|episcleritis
3659,mefenamic-acid,Launched,cyclooxygenase inhibitor,KCNQ1|PTGS1|PTGS2|TRPM3,endocrinology,primary dysmenorrhea (PD)
3661,mefloquine,Launched,adenosine receptor antagonist|hemoglobin antagonist,,infectious disease,malaria
3662,megestrol,Launched,progesterone receptor agonist,,oncology,breast cancer
3663,megestrol-acetate,Launched,progesterone receptor agonist,NR3C1|PGR,neurology/psychiatry|endocrinology,anorexia|cachexia
3665,meglumine,Launched,excipient,,,
3666,meglutol,Launched,HMGCR inhibitor,HMGCR,,
3669,melanotan-ii,Launched,melanocortin receptor agonist,,,
3670,melatonin,Launched,melatonin receptor agonist|nitric oxide synthase inhibitor,ASMT|CALM1|CALR|EPX|ESR1|HTR2B|MPO|MTNR1A|MTNR1B|NQO2|RORB,neurology/psychiatry,sleep cycle support
3671,meldonium,Launched,gamma butyrobetaine hydroxylase inhibitor,BBOX1,cardiology,coronary artery disease (CAD)
3673,melevodopa,Launched,dopamine precursor|dopamine receptor agonist,DDC,neurology/psychiatry,Parkinson's Disease
3674,meloxicam,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis|rheumatoid arthritis
3675,melperone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,DRD2|HTR2A,neurology/psychiatry,psychosis
3676,melphalan,Launched,DNA alkylating agent|DNA inhibitor,,hematologic malignancy,multiple myeloma
3679,memantine,Launched,glutamate receptor antagonist,,neurology/psychiatry,Alzheimer's disease|senile dementia
3680,menadione,Launched,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,gastroenterology|neurology/psychiatry|dermatology|rheumatology,ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis
3682,menatetrenone,Launched,bone resorption inhibitor,,orthopedics,osteoporosis
3683,menbutone,Launched,,,gastroenterology,bile stimulation
3684,mepacrine,Launched,cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator,PLA2G1B,infectious disease,giardiasis
3687,mepenzolate,Launched,acetylcholine receptor antagonist,,gastroenterology,peptic ulcer disease (PUD)
3688,mephenesin,Launched,muscle relaxant,,neurology/psychiatry,muscle relaxant
3689,mephentermine,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3,cardiology,hypotension
3690,mephenytoin,Launched,hydantoin antiepileptic,SCN5A,neurology/psychiatry,seizures
3692,mepivacaine,Launched,potassium channel blocker|sodium channel blocker,,neurology/psychiatry,local anesthetic
3693,meprednisone,Launched,,NR3C1,,
3695,meptazinol,Launched,opioid receptor agonist,BCHE,neurology/psychiatry,pain relief
3696,mepyramine,Launched,histamine receptor antagonist,HRH1,otolaryngology|obstetrics/gynecology,common cold|menstrual pain
3697,mequinol,Launched,,TYR,dermatology,skin depigmentation
3699,merbromin,Launched,antiseptic,,infectious disease,first-aid antiseptic
3700,mercaptopurine,Launched,immunosuppressant|protein synthesis inhibitor|purine antagonist,HPRT1|IMPDH1|IMPDH2|PPAT,hematologic malignancy,acute lymphoblastic leukemia (ALL)
3701,mercaptosuccinic-acid,Launched,,,,
3705,meropenem,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,skin infections|intra-abdominal infections|meningitis
3707,mesalazine,Launched,cyclooxygenase inhibitor|lipoxygenase inhibitor|prostanoid receptor antagonist,ALOX5|CHUK|IKBKB|MPO|PPARG|PTGS1|PTGS2,gastroenterology,ulcerative colitis|inflammatory bowel disease
3708,mesna,Launched,antioxidant,,urology,hemorrhagic cystitis
3709,mesoridazine,Launched,dopamine receptor antagonist,DRD2|HTR2A,neurology/psychiatry,schizophrenia
3710,mestinon,Launched,cholinesterase inhibitor,ACHE|BCHE,neurology/psychiatry,myasthenia gravis
3711,mestranol,Launched,estrogen receptor agonist,ESR1,endocrinology,contraceptive
3715,metacresol,Launched,,INS,,
3716,metafolin,Launched,,,,
3719,metaproterenol,Launched,adrenergic receptor agonist,ADRB2,pulmonary,bronchospasm|asthma|bronchitis|emphysema
3720,metaraminol,Launched,adrenergic receptor agonist,ADRA1A,cardiology,hypotension
3722,metaxalone,Launched,muscle relaxant,,neurology/psychiatry,muscle pain
3725,metergoline,Launched,dopamine receptor agonist|serotonin receptor antagonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7,neurology/psychiatry|endocrinology,seasonal affective disorder|anxiety|hyperprolactinemia
3726,metformin,Launched,insulin sensitizer,ACACB|PRKAB1,endocrinology,diabetes mellitus
3727,methacholine,Launched,acetylcholine receptor agonist,CHRM2|CHRM4,pulmonary,bronchial hyperresponsiveness diagnostic
3730,methantheline,Launched,acetylcholine receptor antagonist,CHRM1|HRH2,gastroenterology|neurology/psychiatry|urology,peptic ulcer disease (PUD)|irritable bowel syndrome|pancreatitis|dyskinesia|neurogenic bladder
3732,metharbital,Launched,GABA receptor modulator,CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2,neurology/psychiatry,epilepsy
3733,methazolamide,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA14|CA2|CA4|CA7,ophthalmology,glaucoma|intraocular pressure
3734,methenamine,Launched,bacterial DNA inhibitor,,infectious disease,urinary tract infections
3736,methicillin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections
3737,methimazole,Launched,antithyroid agent,TPO,endocrinology,hyperthyroidism
3738,methionine,Launched,,METAP2,,
3740,methocarbamol,Launched,muscle relaxant,CA1,neurology/psychiatry,muscle relaxant
3742,methotrexate,Launched,dihydrofolate reductase inhibitor,DHFR,oncology|hematologic malignancy|dermatology|rheumatology,gestational choriocarcinoma|hydatidiform mole|acute lymphoblastic leukemia (ALL)|psoriasis|rheumatoid arthritis
3743,methoxamine,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D,cardiology,hypotension
3744,methoxsalen,Launched,DNA synthesis inhibitor,CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4,dermatology,psoriasis
3746,methoxyflurane,Launched,membrane permeability inhibitor,ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|MT-ND1,neurology/psychiatry,general anaesthetic
3747,methoxyphenamine,Launched,adrenergic receptor agonist,,pulmonary,asthma
3748,methscopolamine,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,gastroenterology,peptic ulcer disease (PUD)
3749,methsuximide,Launched,T-type calcium channel blocker,CACNA1G|CACNA1H|CACNA1I,neurology/psychiatry,seizures
3750,methyclothiazide,Launched,chloride reabsorption inhibitor,SLC12A1|SLC12A3,cardiology,hypertension|edema
3751,methyl-aminolevulinate,Launched,oxidizing agent,FCGR1A|FECH,dermatology,actinic keratosis (AK)
3753,methyl-salicylate,Launched,,,endocrinology|neurology/psychiatry,fever|pain relief
3759,methyldopa,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C|DDC,cardiology,hypertension
3760,methyldopate,Launched,,,cardiology,hypertension
3761,methylene-blue,Launched,guanylyl cyclase inhibitor|nitric oxide production inhibitor,ACHE,hematology,methemoglobinemia
3762,methylergometrine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,DRD1|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C,hematology|neurology/psychiatry,postpartum hemorrhage (PPH)|migraine headache
3764,methylnaltrexone,Launched,opioid receptor antagonist,OPRD1|OPRK1|OPRM1,gastroenterology,constipation
3765,methylparaben,Launched,other antifungal,,dermatology,cosmetic
3766,methylprednisolone,Launched,glucocorticoid receptor agonist,NR3C1,endocrinology|rheumatology|dermatology|infectious disease|allergy|hematology|neurology/psychiatry|gastroenterology,hypercalcemia|thyroiditis|ankylosing spondylitis|bursitis|osteoarthritis|psoriatic arthritis|seborrheic dermatitis|mycosis|allergic rhinitis|psoriasis|anemia|multiple sclerosis|ulcerative colitis|enteritis
3767,methylprednisolone-aceponate,Launched,anti-inflammatory agent|glucocorticoid receptor agonist,NR3C1,endocrinology|rheumatology|infectious disease|allergy|pulmonary|gastroenterology|dermatology|neurology/psychiatry|hematology,congenital adrenal hyperplasia|thyroiditis|hypercalcemia|rheumatoid arthritis|bursitis|epicondylitis|allergic rhinitis|asthma|ulcerative colitis|enteritis|osteoarthritis|psoriasis|multiple sclerosis|anemia
3768,methylprednisolone-sodium-succinate,Launched,glucocorticoid receptor agonist,,endocrinology|rheumatology|dermatology|pulmonary|allergy|infectious disease|ophthalmology|gastroenterology|hematology|neurology/psychiatry,hypercalcemia|thyroiditis|osteoarthritis|rheumatoid arthritis|seborrheic dermatitis|asthma|allergic rhinitis|shingles|conjunctivitis|ulcerative colitis|enteritis|anemia|multiple sclerosis|mycosis
3769,methylthiouracil,Launched,,,endocrinology,hyperthyroidism
3770,methysergide,Launched,serotonin receptor antagonist,HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7,neurology/psychiatry,headache
3771,meticrane,Launched,diuretic,,cardiology,edema
3773,metirosine,Launched,tyrosine hydroxylase inhibitor,TH,cardiology,hypertension
3775,metixene,Launched,acetylcholine receptor antagonist,CHRM5,neurology/psychiatry,Parkinson's Disease
3776,metoclopramide,Launched,dopamine receptor antagonist|serotonin receptor antagonist,CHRM1|DRD2|HTR3A|HTR3B|HTR4,gastroenterology,gastroparesis|nausea|vomiting
3777,metocurine,Launched,acetylcholine receptor antagonist,CHRM2|CHRNA2,neurology/psychiatry,muscle relaxant
3778,metolazone,Launched,carbonic anhydrase inhibitor,SLC12A3,cardiology,edema|hypertension
3779,metoprolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,hypertension|angina pectoris|myocardial infarction
3780,metoxibutropate,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,,
3782,metrizamide,Launched,radiopaque medium,,radiology,contrast agent
3783,metrizoic-acid,Launched,radiopaque medium,,radiology,contrast agent
3784,metronidazole,Launched,DNA inhibitor,CYP2C9|CYP3A4,dermatology,rosacea
3785,metyrapone,Launched,cytochrome P450 inhibitor,CYP11B1,nephrology,adrenal diagnostic agent
3788,mexiletine,Launched,sodium channel blocker,PLAU|SCN4A|SCN5A,cardiology,ventricular arrhythmias|ventricular tachycardia (VT)
3789,mezlocillin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections
3796,mianserin,Launched,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|HRH1|HRH2|HTR2A|HTR2B|HTR2C|HTR6|HTR7,neurology/psychiatry,depression
3799,micafungin,Launched,"fungal 1,3-beta-D-glucan synthase inhibitor",,infectious disease,candidemia|peritonitis|esophageal candidiasis
3800,miconazole,Launched,bacterial cell wall synthesis inhibitor,TRPM2|TRPV5,infectious disease|neurology/psychiatry,yeast infection|itching
3801,micronomicin,Launched,protein synthesis inhibitor,,infectious disease,gram-negative bacterial infections
3803,midecamycin,Launched,protein synthesis inhibitor,,infectious disease,respiratory tract infections|ear infections|skin infections
3804,midodrine,Launched,adrenergic receptor agonist,,cardiology,hypotension
3805,midostaurin,Launched,FLT3 inhibitor|KIT inhibitor|PKC inhibitor,FLT3|PRKCG,hematologic malignancy,acute myeloid leukemia (AML)
3806,mifepristone,Launched,glucocorticoid receptor antagonist|progesterone receptor antagonist,AR|NR1I2|NR3C1|PGR,endocrinology,hyperglycemia|diabetes mellitus
3808,miglitol,Launched,glucosidase inhibitor,GAA|GANAB|GANC|MGAM,endocrinology,diabetes mellitus
3809,miglustat,Launched,glycosyl transferase inhibitor,UGCG,hematology,Gaucher disease
3812,milnacipran,Launched,serotonin–norepinephrine reuptake inhibitor (SNRI),SLC6A2|SLC6A4,rheumatology,fibromyalgia
3813,milrinone,Launched,phosphodiesterase inhibitor,PDE2A|PDE3A|PDE3B|PDE5A,cardiology,congestive heart failure
3814,miltefosine,Launched,membrane integrity inhibitor,PLA2G1B,infectious disease,leishmaniasis
3818,minocycline,Launched,bacterial 30S ribosomal subunit inhibitor,,endocrinology|infectious disease|ophthalmology|urology,fever|respiratory tract infections|psittacosis|trachoma|conjunctivitis|urethritis|chancroid|tularemia|cholera|brucellosis
3819,minodronic-acid,Launched,bone resorption inhibitor,FDPS|GGPS1,orthopedics,osteoporosis
3820,minoxidil,Launched,KATP activator|Kir6 channel (KATP) activator|vasodilator,ABCC9|KCNJ1|KCNJ10|KCNJ11|KCNJ8|PTGS1,endocrinology,androgenetic alopecia
3821,miocamycin,Launched,other antibiotic,,infectious disease,urinary tract infections|chlamydia
3823,mirabegron,Launched,adrenergic receptor agonist,ADRB1|ADRB2|ADRB3,urology,urinary incontinence
3826,miriplatin,Launched,DNA synthesis inhibitor,,oncology,hepatocellular carcinoma (HCC)
3827,mirodenafil,Launched,phosphodiesterase inhibitor,PDE5A,urology,erectile dysfunction
3829,mirtazapine,Launched,adrenergic receptor antagonist|serotonin receptor antagonist,ADRA2A|ADRA2B|ADRA2C|HTR2A|HTR2C,neurology/psychiatry,depression
3831,misoprostol,Launched,prostanoid receptor agonist,PTGER2|PTGER3|PTGER4|PTGIR,gastroenterology,duodenal ulcer disease
3833,mitiglinide,Launched,insulin secretagogue,ABCC8|KCNJ10|PPARG,endocrinology,diabetes mellitus
3835,mitomycin-C,Launched,DNA alkylating agent|DNA synthesis inhibitor,,oncology,pancreatic cancer|gastric adenocarcinoma
3836,mitoquinone,Launched,antioxidant,,,
3837,mitotane,Launched,antineoplastic agent,CYP11A1|CYP11B1|ESR1,oncology,adrenal cortical carcinoma
3838,mitoxantrone,Launched,topoisomerase inhibitor,TOP2A,neurology/psychiatry|oncology|hematologic malignancy,multiple sclerosis|prostate cancer|acute myeloid leukemia (AML)
3839,mivacurium,Launched,acetylcholine receptor antagonist,CHRNA2,critical care|neurology/psychiatry,endotracheal intubation|muscle relaxant
3843,mizolastine,Launched,histamine receptor antagonist,HRH1,allergy,urticaria|allergic rhinitis
3844,mizoribine,Launched,immunosuppressant|inosine monophosphate dehydrogenase inhibitor,IMPDH1,transplant|rheumatology,organ rejection|nephrotic syndrome
3917,moclobemide,Launched,monoamine oxidase inhibitor,MAOA|MAOB,neurology/psychiatry,depression|anxiety
3919,moexipril,Launched,angiotensin converting enzyme inhibitor,ACE|ACE2,cardiology,hypertension
3921,mofezolac,Launched,cyclooxygenase inhibitor,PTGS1,rheumatology|orthopedics,rheumatoid arthritis|osteoporosis
3924,molindone,Launched,dopamine receptor antagonist,DRD2|HRH1|HTR2A,neurology/psychiatry,schizophrenia
3925,molsidomine,Launched,guanylate cyclase stimulant,GUCY1A3,cardiology,coronary artery disease (CAD)
3926,mometasone,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
3927,mometasone-furoate,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses
3929,monensin,Launched,bacterial permeability inducer,,infectious disease,gastrointestinal parasites
3931,monobenzone,Launched,melanin inhibitor,TYR,dermatology,skin depigmentation
3933,monoctanoin,Launched,,,gastroenterology,gallstones
3934,monomethyl-fumarate,Launched,,,neurology/psychiatry,multiple sclerosis
3935,monosodium-alpha-luminol,Launched,,,,
3937,montelukast,Launched,leukotriene receptor antagonist,ALOX5|CYSLTR1,pulmonary|allergy,asthma|allergic rhinitis|exercise-induced bronchoconstriction (EIB)
3938,moprolol,Launched,adrenergic receptor antagonist,,cardiology|ophthalmology|neurology/psychiatry,hypertension|glaucoma|anxiety
3940,morantel,Launched,acetylcholine receptor agonist,,infectious disease,tapeworm
3942,morinidazole,Launched,other antibiotic,CYP51A1,,
3943,morniflumate,Launched,anti-inflammatory agent,,neurology/psychiatry,pain relief
3944,moroxydine,Launched,antiviral,,infectious disease,influenza A virus infection
3946,mosapride,Launched,serotonin receptor agonist,HTR4,gastroenterology,hypertrophic gastritis (GHG)|gastroesophageal reflux disease (GERD)|dyspepsia|irritable bowel syndrome
3950,moxalactam,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections|gram-negative bacterial infections|skin infections|bone and joint infections|pneumonia|urinary tract infections|meningitis
3951,moxaverine,Launched,phosphodiesterase inhibitor,,neurology/psychiatry,spasms
3952,moxidectin,Launched,chloride channel antagonist,,infectious disease,gastrointestinal parasites
3953,moxifloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,otolaryngology|pulmonary|infectious disease,sinusitis|bronchitis|pneumonia|skin infections|intra-abdominal infections
3955,moxonidine,Launched,imidazoline receptor agonist,ADRA2A|ADRA2B|ADRA2C,cardiology,hypertension
3956,mozavaptan,Launched,vasopressin receptor antagonist,AVPR1A|AVPR1B|AVPR2,endocrinology,hyponatremia
3979,mupirocin,Launched,isoleucyl-tRNA synthetase inhibitor,,infectious disease,impetigo
3983,mycophenolate-mofetil,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1|IMPDH2,transplant,organ rejection
3984,mycophenolic-acid,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1|IMPDH2,transplant,organ rejection
3993,N-acetyl-tyrosine,Launched,,,,
3994,N-acetylcarnosine,Launched,,,,
4011,nabumetone,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,rheumatoid arthritis|osteoarthritis
4012,nadide,Launched,free radical scavenger,AHCY|AKR1A1|ALDH2|BLVRA|DHPS|DLD|GALE|HMGCR|HSD17B1|HSD17B4|IMPDH2|MGAM|P2RY11|SORD|TRPM2,,
4013,nadifloxacin,Launched,bacterial DNA gyrase inhibitor,,dermatology|infectious disease,acne vulgaris (AV)|skin infections
4014,nadolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,cardiology,angina pectoris|hypertension
4017,nafamostat,Launched,serine protease inhibitor,ASIC1|ASIC2|ASIC3|C1R|PRSS1|TPSAB1|TRPM7,cardiology,anticoagulent
4018,nafcillin,Launched,bacterial cell wall synthesis inhibitor,CYP1A2|CYP3A4|SLC22A6,infectious disease,gram-positive bacterial infections
